id,NAME,Address,District,Test Type,geometry,FullAddress
254,Korambayil Hospital and Diagnostic Centre Pvt Ltd,Korambayil Hospital and Diagnostic Centre Pvt Ltd  Manjeri,Kozhikode,ANTIGEN,POINT( 76.1258167 11.1228556 ),Korambayil Hospital and Diagnostic Centre Pvt Ltd  Manjeri
255,Dharu Shifa,Dharu Shifa  Kallampara  Perumugham P O  Feroke  Kozhikode,Kozhikode,ANTIGEN,POINT(75.776255 11.270665),Dharu Shifa  Kallampara  Perumugham P O  Feroke  Kozhikode  Kozhikode
255,Dharu Shifa,Dharu Shifa  Kallampara  Perumugham P O  Feroke  Kozhikode,Kozhikode,ANTIGEN,POINT(75.776255 11.270665),Dharu Shifa  Kallampara  Perumugham P O  Feroke  Kozhikode  Kozhikode
256,KIMS AL SHIFA,KIMS AL SHIFA  MALAPPURAM,Malappuram,ANTIGEN,POINT(76.2238107368796 10.9845734),KIMS AL SHIFA  MALAPPURAM  Malappuram
256,KIMS AL SHIFA,KIMS AL SHIFA  MALAPPURAM,Malappuram,ANTIGEN,POINT(76.2238107368796 10.9845734),KIMS AL SHIFA  MALAPPURAM  Malappuram
257,Edappal Hospitals,Edappal Hospitals  Malappuram,Malappuram,ANTIGEN,POINT(76.0108005 10.7820357),Edappal Hospitals  Malappuram  Malappuram
257,Edappal Hospitals,Edappal Hospitals  Malappuram,Malappuram,ANTIGEN,POINT(76.0108005 10.7820357),Edappal Hospitals  Malappuram  Malappuram
258,IQRAA Community Hospital Vazhakkad,IQRAA Community Hospital Vazhakkad  Malappuram,Malappuram,ANTIGEN,POINT(75.950907 11.248108),IQRAA Community Hospital Vazhakkad  Malappuram  Malappuram
258,IQRAA Community Hospital Vazhakkad,IQRAA Community Hospital Vazhakkad  Malappuram,Malappuram,ANTIGEN,POINT(75.950907 11.248108),IQRAA Community Hospital Vazhakkad  Malappuram  Malappuram
259,IBNU SEENA MEDICAL CENTRE,IBNU SEENA MEDICAL CENTRE  Manjeri,Malappuram,ANTIGEN,POINT(76.1143048 11.121048),IBNU SEENA MEDICAL CENTRE  Manjeri  Malappuram
259,IBNU SEENA MEDICAL CENTRE,IBNU SEENA MEDICAL CENTRE  Manjeri,Malappuram,ANTIGEN,POINT(76.1143048 11.121048),IBNU SEENA MEDICAL CENTRE  Manjeri  Malappuram
260,Aster MIMS - Kottakkal,Aster MIMS - Kottakkal  Malappuram,Malappuram,ANTIGEN,POINT(75.9938413013057 10.9960453),Aster MIMS - Kottakkal  Malappuram  Malappuram
260,Aster MIMS - Kottakkal,Aster MIMS - Kottakkal  Malappuram,Malappuram,ANTIGEN,POINT(75.9938413013057 10.9960453),Aster MIMS - Kottakkal  Malappuram  Malappuram
261,sukapuram Hospital,sukapuram Hospital  Edappal  Malappuram,Malappuram,ANTIGEN,POINT(76.0094647 10.7789104),sukapuram Hospital  Edappal  Malappuram  Malappuram
261,sukapuram Hospital,sukapuram Hospital  Edappal  Malappuram,Malappuram,ANTIGEN,POINT(76.0094647 10.7789104),sukapuram Hospital  Edappal  Malappuram  Malappuram
262,Nadakkavil Hospital,Nadakkavil Hospital  Perinthalmanna Road Valanchery  Malappuram,Malappuram,ANTIGEN,POINT(76.0749286 10.8935928),Nadakkavil Hospital  Perinthalmanna Road Valanchery  Malappuram  Malappuram
262,Nadakkavil Hospital,Nadakkavil Hospital  Perinthalmanna Road Valanchery  Malappuram,Malappuram,ANTIGEN,POINT(76.0749286 10.8935928),Nadakkavil Hospital  Perinthalmanna Road Valanchery  Malappuram  Malappuram
263,Nizar Hospital Pattambi Road Valanchery Malappuram,Nizar Hospital Pattambi Road Valanchery Malappuram,Malappuram,ANTIGEN,POINT(76.073973 10.885863),Nizar Hospital Pattambi Road Valanchery Malappuram  Malappuram
263,Nizar Hospital Pattambi Road Valanchery Malappuram,Nizar Hospital Pattambi Road Valanchery Malappuram,Malappuram,ANTIGEN,POINT(76.073973 10.885863),Nizar Hospital Pattambi Road Valanchery Malappuram  Malappuram
264,AL Salama Diagnostic Centre,AL Salama Diagnostic Centre  Tirur,Malappuram,ANTIGEN,POINT( 75.9365472 10.9367583 ),AL Salama Diagnostic Centre  Tirur
265,Neethi Lab,Neethi Lab  Tirur  Near Govt Hospital  Thettammal Building  Tirur,Malappuram,ANTIGEN,POINT( 75.9229444 10.9124639 ),Neethi Lab  Tirur  Near Govt Hospital  Thettammal Building  Tirur
266,S.H.Hospital,S.H.Hospital Manimooly P.O Nilambur Via  Malappuram,Malappuram,ANTIGEN,POINT(76.225415 10.974888),S.H.Hospital Manimooly P.O Nilambur Via  Malappuram  Malappuram
266,S.H.Hospital,S.H.Hospital Manimooly P.O Nilambur Via  Malappuram,Malappuram,ANTIGEN,POINT(76.225415 10.974888),S.H.Hospital Manimooly P.O Nilambur Via  Malappuram  Malappuram
267,Al Madeena Institute of Medical Science Pvt Ltd. ALMAS Hospital,Al Madeena Institute of Medical Science Pvt Ltd. ALMAS Hospital  Kottakkal  Malappuram,Malappuram,ANTIGEN,POINT(75.994065 10.995934),Al Madeena Institute of Medical Science Pvt Ltd. ALMAS Hospital  Kottakkal  Malappuram  Malappuram
267,Al Madeena Institute of Medical Science Pvt Ltd. ALMAS Hospital,Al Madeena Institute of Medical Science Pvt Ltd. ALMAS Hospital  Kottakkal  Malappuram,Malappuram,ANTIGEN,POINT(75.994065 10.995934),Al Madeena Institute of Medical Science Pvt Ltd. ALMAS Hospital  Kottakkal  Malappuram  Malappuram
268,Alba Specialty Laboratory,Alba Specialty Laboratory Perinthalmanna Road  Valanchery,Malappuram,ANTIGEN,POINT(76.120217 11.095386),Alba Specialty Laboratory Perinthalmanna Road  Valanchery  Malappuram
268,Alba Specialty Laboratory,Alba Specialty Laboratory Perinthalmanna Road  Valanchery,Malappuram,ANTIGEN,POINT(76.120217 11.095386),Alba Specialty Laboratory Perinthalmanna Road  Valanchery  Malappuram
269,DOCTORS SPECIALITY LABORATORY,DOCTORS SPECIALITY LABORATORY  OP GOVT HOSPITAL  TIRUR. MALAPPURAM,Malappuram,ANTIGEN,POINT( 75.9193889 10.9094778 ),DOCTORS SPECIALITY LABORATORY  OP GOVT HOSPITAL  TIRUR. MALAPPURAM
270,Moulana Hospital,Moulana Hospital  Perinthalmanna  Malappuram,Malappuram,ANTIGEN,POINT(76.225599 10.9764846),Moulana Hospital  Perinthalmanna  Malappuram  Malappuram
270,Moulana Hospital,Moulana Hospital  Perinthalmanna  Malappuram,Malappuram,ANTIGEN,POINT(76.225599 10.9764846),Moulana Hospital  Perinthalmanna  Malappuram  Malappuram
271,NIMS Hospital,NIMS Hospital  Wandoor  Malappuram,Malappuram,ANTIGEN,POINT(76.2445906972634 11.19288135),NIMS Hospital  Wandoor  Malappuram  Malappuram
271,NIMS Hospital,NIMS Hospital  Wandoor  Malappuram,Malappuram,ANTIGEN,POINT(76.2445906972634 11.19288135),NIMS Hospital  Wandoor  Malappuram  Malappuram
272,Sreevalsam Institute of Medical Sciences,Sreevalsam Institute of Medical Sciences  Kololambu P.O  Naduvattom Edappal Malappuram,Malappuram,ANTIGEN,POINT(76.00365 10.78482),Sreevalsam Institute of Medical Sciences  Kololambu P.O  Naduvattom Edappal Malappuram  Malappuram
272,Sreevalsam Institute of Medical Sciences,Sreevalsam Institute of Medical Sciences  Kololambu P.O  Naduvattom Edappal Malappuram,Malappuram,ANTIGEN,POINT(76.00365 10.78482),Sreevalsam Institute of Medical Sciences  Kololambu P.O  Naduvattom Edappal Malappuram  Malappuram
273,M K H Hospital,M K H Hospital  Thirurangadi  Malappuram,Malappuram,ANTIGEN,POINT(76.223818 10.984548),M K H Hospital  Thirurangadi  Malappuram  Malappuram
273,M K H Hospital,M K H Hospital  Thirurangadi  Malappuram,Malappuram,ANTIGEN,POINT(76.223818 10.984548),M K H Hospital  Thirurangadi  Malappuram  Malappuram
274,Maanu Memorial Hospital,Maanu Memorial Hospital Melakkam  Manjeri  Malappuram,Malappuram,ANTIGEN,POINT(76.116228 11.128455),Maanu Memorial Hospital Melakkam  Manjeri  Malappuram  Malappuram
274,Maanu Memorial Hospital,Maanu Memorial Hospital Melakkam  Manjeri  Malappuram,Malappuram,ANTIGEN,POINT(76.116228 11.128455),Maanu Memorial Hospital Melakkam  Manjeri  Malappuram  Malappuram
275,Tirurangadi Medical Laboratory( A unit of Janatha Diagnostics,Tirurangadi Medical Laboratory( A unit of Janatha Diagnostics  Chemmad  P.O Tirurangadi  Malappuram,Malappuram,ANTIGEN,POINT(75.92339 11.027665),Tirurangadi Medical Laboratory( A unit of Janatha Diagnostics  Chemmad  P.O Tirurangadi  Malappuram  Malappuram
275,Tirurangadi Medical Laboratory( A unit of Janatha Diagnostics,Tirurangadi Medical Laboratory( A unit of Janatha Diagnostics  Chemmad  P.O Tirurangadi  Malappuram,Malappuram,ANTIGEN,POINT(75.92339 11.027665),Tirurangadi Medical Laboratory( A unit of Janatha Diagnostics  Chemmad  P.O Tirurangadi  Malappuram  Malappuram
276,SUTHARYA HEALTHCARE AND DIAGNOSTICS,SUTHARYA HEALTHCARE AND DIAGNOSTICS  GOVINDAM ARCADE  MUTTUNGAL JUNCTION  PERINTHALMANNA  MALAPPURAM,Malappuram,ANTIGEN,POINT(75.94833 10.788764),SUTHARYA HEALTHCARE AND DIAGNOSTICS  GOVINDAM ARCADE  MUTTUNGAL JUNCTION  PERINTHALMANNA  MALAPPURAM  Malappuram
276,SUTHARYA HEALTHCARE AND DIAGNOSTICS,SUTHARYA HEALTHCARE AND DIAGNOSTICS  GOVINDAM ARCADE  MUTTUNGAL JUNCTION  PERINTHALMANNA  MALAPPURAM,Malappuram,ANTIGEN,POINT(75.94833 10.788764),SUTHARYA HEALTHCARE AND DIAGNOSTICS  GOVINDAM ARCADE  MUTTUNGAL JUNCTION  PERINTHALMANNA  MALAPPURAM  Malappuram
277,Ramdas Clinic and Nursing Home,Ramdas Clinic and Nursing Home  Perinthalmanna  Malappuram,Malappuram,ANTIGEN,POINT(76.201601 10.977292),Ramdas Clinic and Nursing Home  Perinthalmanna  Malappuram  Malappuram
277,Ramdas Clinic and Nursing Home,Ramdas Clinic and Nursing Home  Perinthalmanna  Malappuram,Malappuram,ANTIGEN,POINT(76.201601 10.977292),Ramdas Clinic and Nursing Home  Perinthalmanna  Malappuram  Malappuram
278,Mother Hospital,Mother Hospital Areekode  Malappuram,Malappuram,ANTIGEN,POINT(76.0379375151166 11.2313406),Mother Hospital Areekode  Malappuram  Malappuram
278,Mother Hospital,Mother Hospital Areekode  Malappuram,Malappuram,ANTIGEN,POINT(76.0379375151166 11.2313406),Mother Hospital Areekode  Malappuram  Malappuram
279,MBH Hospital LLP,MBH Hospital LLP  Down Hill Post  Malappuram,Malappuram,ANTIGEN,POINT(76.075837 11.045055),MBH Hospital LLP  Down Hill Post  Malappuram  Malappuram
279,MBH Hospital LLP,MBH Hospital LLP  Down Hill Post  Malappuram,Malappuram,ANTIGEN,POINT(76.075837 11.045055),MBH Hospital LLP  Down Hill Post  Malappuram  Malappuram
280,Mumtaz clinic and maternity home,Mumtaz clinic and maternity home  Pattambi road  Perintalmanna,Malappuram,ANTIGEN,POINT(76.225916 10.969003),Mumtaz clinic and maternity home  Pattambi road  Perintalmanna  Malappuram
280,Mumtaz clinic and maternity home,Mumtaz clinic and maternity home  Pattambi road  Perintalmanna,Malappuram,ANTIGEN,POINT(76.225916 10.969003),Mumtaz clinic and maternity home  Pattambi road  Perintalmanna  Malappuram
281,Mooniyoor Nursing Home,Mooniyoor Nursing Home  Alinchuvadu  Mooniyoor P O Malappuram,Malappuram,ANTIGEN,POINT(76.054542 11.158739),Mooniyoor Nursing Home  Alinchuvadu  Mooniyoor P O Malappuram  Malappuram
281,Mooniyoor Nursing Home,Mooniyoor Nursing Home  Alinchuvadu  Mooniyoor P O Malappuram,Malappuram,ANTIGEN,POINT(76.054542 11.158739),Mooniyoor Nursing Home  Alinchuvadu  Mooniyoor P O Malappuram  Malappuram
282,BM hospital Nilambur,BM hospital Nilambur  Vk road  Nilambur  Malappuram,Malappuram,ANTIGEN,POINT(76.217235 10.976181),BM hospital Nilambur  Vk road  Nilambur  Malappuram  Malappuram
282,BM hospital Nilambur,BM hospital Nilambur  Vk road  Nilambur  Malappuram,Malappuram,ANTIGEN,POINT(76.217235 10.976181),BM hospital Nilambur  Vk road  Nilambur  Malappuram  Malappuram
283,Malabar Hospital (P Ltd,Malabar Hospital (P Ltd  Manjeri  Malappuram,Malappuram,ANTIGEN,POINT(76.110917 11.124529),Malabar Hospital (P Ltd  Manjeri  Malappuram  Malappuram
283,Malabar Hospital (P Ltd,Malabar Hospital (P Ltd  Manjeri  Malappuram,Malappuram,ANTIGEN,POINT(76.110917 11.124529),Malabar Hospital (P Ltd  Manjeri  Malappuram  Malappuram
284,EMS Memorial Co-operative Hospital & Research Centre Ltd,EMS Memorial Co-operative Hospital & Research Centre Ltd  Panambi  P.O. Perinthalmanna  Mallappuram,Malappuram,ANTIGEN,POINT(76.255412 10.976171),EMS Memorial Co-operative Hospital & Research Centre Ltd  Panambi  P.O. Perinthalmanna  Mallappuram  Malappuram
284,EMS Memorial Co-operative Hospital & Research Centre Ltd,EMS Memorial Co-operative Hospital & Research Centre Ltd  Panambi  P.O. Perinthalmanna  Mallappuram,Malappuram,ANTIGEN,POINT(76.255412 10.976171),EMS Memorial Co-operative Hospital & Research Centre Ltd  Panambi  P.O. Perinthalmanna  Mallappuram  Malappuram
285,Daru Sifa Hospital,Daru Sifa Hospital  Kunnumpuram  Malappuram,Malappuram,ANTIGEN,POINT( 75.9513778 11.0828750 ),Daru Sifa Hospital  Kunnumpuram  Malappuram
286,Al Abeer Hospital,Al Abeer Hospital  Kizhisseri  Kuzhimana  Malappuram,Malappuram,ANTIGEN,POINT(76.222624 10.985482),Al Abeer Hospital  Kizhisseri  Kuzhimana  Malappuram  Malappuram
286,Al Abeer Hospital,Al Abeer Hospital  Kizhisseri  Kuzhimana  Malappuram,Malappuram,ANTIGEN,POINT(76.222624 10.985482),Al Abeer Hospital  Kizhisseri  Kuzhimana  Malappuram  Malappuram
287,DMS HOSPITAL LLP,DMS HOSPITAL LLP  DOOR NO: 11/36-52 4 H AVENUE  NH MELECHELARI THENHIPALAM PO,Malappuram,ANTIGEN,POINT( 75.8903528 11.1137222 ),DMS HOSPITAL LLP  DOOR NO: 11/36-52 4 H AVENUE  NH MELECHELARI THENHIPALAM PO
288,SUDHARMA SPECIALTY LABORATORY,SUDHARMA SPECIALTY LABORATORY  NMS Tower  Calicut Road  Valanchery,Malappuram,ANTIGEN,POINT(76.120217 11.095386),SUDHARMA SPECIALTY LABORATORY  NMS Tower  Calicut Road  Valanchery  Malappuram
288,SUDHARMA SPECIALTY LABORATORY,SUDHARMA SPECIALTY LABORATORY  NMS Tower  Calicut Road  Valanchery,Malappuram,ANTIGEN,POINT(76.120217 11.095386),SUDHARMA SPECIALTY LABORATORY  NMS Tower  Calicut Road  Valanchery  Malappuram
289,MOTHER CARE AND HEALTH CENTRE (P LTD,MOTHER CARE AND HEALTH CENTRE (P LTD Vattambalam Kumaramputhur   Mannarkad  Palakkad,Malappuram,ANTIGEN,POINT( 76.4232250 10.9834250 ),MOTHER CARE AND HEALTH CENTRE (P LTD Vattambalam Kumaramputhur   Mannarkad  Palakkad
290,ARMC AEGIS Hospital,ARMC AEGIS Hospital  Bypass road  Perinthalmanna  Malappuram,Malappuram,ANTIGEN,POINT(75.927215 10.918933),ARMC AEGIS Hospital  Bypass road  Perinthalmanna  Malappuram  Malappuram
290,ARMC AEGIS Hospital,ARMC AEGIS Hospital  Bypass road  Perinthalmanna  Malappuram,Malappuram,ANTIGEN,POINT(75.927215 10.918933),ARMC AEGIS Hospital  Bypass road  Perinthalmanna  Malappuram  Malappuram
291,Valluvanad Hospital Complex Limited,Valluvanad Hospital Complex Limited Kanniyampuram(PO Ottapalam  Palakkad,Palakkad,ANTIGEN,POINT(76.654783 10.774862),Valluvanad Hospital Complex Limited Kanniyampuram(PO Ottapalam  Palakkad  Palakkad
291,Valluvanad Hospital Complex Limited,Valluvanad Hospital Complex Limited Kanniyampuram(PO Ottapalam  Palakkad,Palakkad,ANTIGEN,POINT(76.654783 10.774862),Valluvanad Hospital Complex Limited Kanniyampuram(PO Ottapalam  Palakkad  Palakkad
292,Paalana Institute of Medical Sciences,Paalana Institute of Medical Sciences  unit of Malabar Medical Mission Trust Kannadi. po  Palakkad ,Palakkad,ANTIGEN,POINT(76.651172 10.738399),Paalana Institute of Medical Sciences  unit of Malabar Medical Mission Trust Kannadi. po  Palakkad   Palakkad
292,Paalana Institute of Medical Sciences,Paalana Institute of Medical Sciences  unit of Malabar Medical Mission Trust Kannadi. po  Palakkad ,Palakkad,ANTIGEN,POINT(76.651172 10.738399),Paalana Institute of Medical Sciences  unit of Malabar Medical Mission Trust Kannadi. po  Palakkad   Palakkad
293,New Alma Hospital,New Alma Hospital  Mannarkad  Palakkad,Palakkad,ANTIGEN,POINT(76.4519341343595 10.98570085),New Alma Hospital  Mannarkad  Palakkad  Palakkad
293,New Alma Hospital,New Alma Hospital  Mannarkad  Palakkad,Palakkad,ANTIGEN,POINT(76.4519341343595 10.98570085),New Alma Hospital  Mannarkad  Palakkad  Palakkad
294,P.K.Das Institute of Medical Sciences,P.K.Das Institute of Medical Sciences Vaniamkulam  Palakkad,Palakkad,ANTIGEN,POINT(76.651172 10.738399),P.K.Das Institute of Medical Sciences Vaniamkulam  Palakkad  Palakkad
294,P.K.Das Institute of Medical Sciences,P.K.Das Institute of Medical Sciences Vaniamkulam  Palakkad,Palakkad,ANTIGEN,POINT(76.651172 10.738399),P.K.Das Institute of Medical Sciences Vaniamkulam  Palakkad  Palakkad
295,Sevana Hospital & Research Centre Pvt. LTD,Sevana Hospital & Research Centre Pvt. LTD Kalladipatta (PO Pattambi,Palakkad,ANTIGEN,POINT(76.2015349398418 10.8059211),Sevana Hospital & Research Centre Pvt. LTD Kalladipatta (PO Pattambi  Palakkad
295,Sevana Hospital & Research Centre Pvt. LTD,Sevana Hospital & Research Centre Pvt. LTD Kalladipatta (PO Pattambi,Palakkad,ANTIGEN,POINT(76.2015349398418 10.8059211),Sevana Hospital & Research Centre Pvt. LTD Kalladipatta (PO Pattambi  Palakkad
296,Ahalia Diabetes Hospital,Ahalia Diabetes Hospital Kozhippara  Palakkad,Palakkad,ANTIGEN,POINT(76.827528 10.792156),Ahalia Diabetes Hospital Kozhippara  Palakkad  Palakkad
296,Ahalia Diabetes Hospital,Ahalia Diabetes Hospital Kozhippara  Palakkad,Palakkad,ANTIGEN,POINT(76.827528 10.792156),Ahalia Diabetes Hospital Kozhippara  Palakkad  Palakkad
297,Palakkad District Co-operative hospital and Research centre Limited,Palakkad District Co-operative hospital and Research centre Limited  Palakkad,Palakkad,ANTIGEN,POINT(76.408786 10.770427),Palakkad District Co-operative hospital and Research centre Limited  Palakkad  Palakkad
297,Palakkad District Co-operative hospital and Research centre Limited,Palakkad District Co-operative hospital and Research centre Limited  Palakkad,Palakkad,ANTIGEN,POINT(76.408786 10.770427),Palakkad District Co-operative hospital and Research centre Limited  Palakkad  Palakkad
298,MODERN HOSPITAL,MODERN HOSPITAL  Guruvayur Road Koottanad  Palakkad,Palakkad,ANTIGEN,POINT(76.653451 10.784301),MODERN HOSPITAL  Guruvayur Road Koottanad  Palakkad  Palakkad
298,MODERN HOSPITAL,MODERN HOSPITAL  Guruvayur Road Koottanad  Palakkad,Palakkad,ANTIGEN,POINT(76.653451 10.784301),MODERN HOSPITAL  Guruvayur Road Koottanad  Palakkad  Palakkad
299,Thangam Hospital of PMRC,Thangam Hospital of PMRC Chandanamkurissi  West Yakkara  Palakkad,Palakkad,ANTIGEN,POINT(76.638456 10.754907),Thangam Hospital of PMRC Chandanamkurissi  West Yakkara  Palakkad  Palakkad
299,Thangam Hospital of PMRC,Thangam Hospital of PMRC Chandanamkurissi  West Yakkara  Palakkad,Palakkad,ANTIGEN,POINT(76.638456 10.754907),Thangam Hospital of PMRC Chandanamkurissi  West Yakkara  Palakkad  Palakkad
300,Avitis Hospital-Palakkad Town,Avitis Hospital-Palakkad Town  41/1027-1028  Brindavan Street  Near Town Hall  Palakkad,Palakkad,ANTIGEN,POINT(76.654783 10.774862),Avitis Hospital-Palakkad Town  41/1027-1028  Brindavan Street  Near Town Hall  Palakkad  Palakkad
300,Avitis Hospital-Palakkad Town,Avitis Hospital-Palakkad Town  41/1027-1028  Brindavan Street  Near Town Hall  Palakkad,Palakkad,ANTIGEN,POINT(76.654783 10.774862),Avitis Hospital-Palakkad Town  41/1027-1028  Brindavan Street  Near Town Hall  Palakkad  Palakkad
301,LAKSHMI HOSPITAL,LAKSHMI HOSPITAL  CHITTUR ROAD PALAKKAD,Palakkad,ANTIGEN,POINT(76.6622948872739 10.7635398),LAKSHMI HOSPITAL  CHITTUR ROAD PALAKKAD  Palakkad
301,LAKSHMI HOSPITAL,LAKSHMI HOSPITAL  CHITTUR ROAD PALAKKAD,Palakkad,ANTIGEN,POINT(76.6622948872739 10.7635398),LAKSHMI HOSPITAL  CHITTUR ROAD PALAKKAD  Palakkad
302,Athani Hospital Lab,Athani Hospital Lab  Nattukkal p o  Palakkad,Palakkad,ANTIGEN,POINT(76.658173 10.633818),Athani Hospital Lab  Nattukkal p o  Palakkad  Palakkad
302,Athani Hospital Lab,Athani Hospital Lab  Nattukkal p o  Palakkad,Palakkad,ANTIGEN,POINT(76.658173 10.633818),Athani Hospital Lab  Nattukkal p o  Palakkad  Palakkad
303,Nila Hospital,Nila Hospital  Pattambi  Palakkad,Palakkad,ANTIGEN,POINT(76.1747023442024 10.8010553),Nila Hospital  Pattambi  Palakkad  Palakkad
303,Nila Hospital,Nila Hospital  Pattambi  Palakkad,Palakkad,ANTIGEN,POINT(76.1747023442024 10.8010553),Nila Hospital  Pattambi  Palakkad  Palakkad
304,SUTHARYA HEALTHCARE DIAGNOSTICS and Sudharma Specialty Laboratory,SUTHARYA HEALTHCARE DIAGNOSTICS and Sudharma Specialty Laboratory  Ottapalam,Palakkad,ANTIGEN,POINT( 76.3761028 10.7768222 ),SUTHARYA HEALTHCARE DIAGNOSTICS and Sudharma Specialty Laboratory  Ottapalam
305,Pushpagiri Medical College Laboratory,Pushpagiri Medical College Laboratory  Thiruvalla,Palakkad,ANTIGEN,POINT( 76.5803528 9.3825306 ),Pushpagiri Medical College Laboratory  Thiruvalla
306,Crescent Hospital,Crescent Hospital  Court Road  Alathur PO.  Palakkad,Palakkad,ANTIGEN,POINT(76.654783 10.774862),Crescent Hospital  Court Road  Alathur PO.  Palakkad  Palakkad
306,Crescent Hospital,Crescent Hospital  Court Road  Alathur PO.  Palakkad,Palakkad,ANTIGEN,POINT(76.654783 10.774862),Crescent Hospital  Court Road  Alathur PO.  Palakkad  Palakkad
307,Believers Church Medical Colege,Believers Church Medical Colege  Thiruvalla,Pathanamthitta,ANTIGEN,POINT(76.575368 9.416575),Believers Church Medical Colege  Thiruvalla  Pathanamthitta
307,Believers Church Medical Colege,Believers Church Medical Colege  Thiruvalla,Pathanamthitta,ANTIGEN,POINT(76.575368 9.416575),Believers Church Medical Colege  Thiruvalla  Pathanamthitta
308,St Gregorius Medical Mission Hospital,St Gregorius Medical Mission Hospital  Thiruvalla,Pathanamthitta,ANTIGEN,POINT(76.578686 9.39391),St Gregorius Medical Mission Hospital  Thiruvalla  Pathanamthitta
308,St Gregorius Medical Mission Hospital,St Gregorius Medical Mission Hospital  Thiruvalla,Pathanamthitta,ANTIGEN,POINT(76.578686 9.39391),St Gregorius Medical Mission Hospital  Thiruvalla  Pathanamthitta
309,Christian Mission Hospital,Christian Mission Hospital  Pandalam  Pathanamthitta,Pathanamthitta,ANTIGEN,POINT(76.6794 9.218379),Christian Mission Hospital  Pandalam  Pathanamthitta  Pathanamthitta
309,Christian Mission Hospital,Christian Mission Hospital  Pandalam  Pathanamthitta,Pathanamthitta,ANTIGEN,POINT(76.6794 9.218379),Christian Mission Hospital  Pandalam  Pathanamthitta  Pathanamthitta
310,Muthoot Health Care Pvt Ltd,Muthoot Health Care Pvt Ltd Kozhencherry,Pathanamthitta,ANTIGEN,POINT(76.790786 9.266552),Muthoot Health Care Pvt Ltd Kozhencherry  Pathanamthitta
310,Muthoot Health Care Pvt Ltd,Muthoot Health Care Pvt Ltd Kozhencherry,Pathanamthitta,ANTIGEN,POINT(76.790786 9.266552),Muthoot Health Care Pvt Ltd Kozhencherry  Pathanamthitta
311,Holy cross Hospital,Holy cross Hospital  Adoor  Pathanamthitta,Pathanamthitta,ANTIGEN,POINT(76.7244707 9.1616259),Holy cross Hospital  Adoor  Pathanamthitta  Pathanamthitta
311,Holy cross Hospital,Holy cross Hospital  Adoor  Pathanamthitta,Pathanamthitta,ANTIGEN,POINT(76.7244707 9.1616259),Holy cross Hospital  Adoor  Pathanamthitta  Pathanamthitta
312,Lifeline Super Speciality Hospital,Lifeline Super Speciality Hospital  Adoor Pathanamthitta,Pathanamthitta,ANTIGEN,POINT(76.7063316 9.163441),Lifeline Super Speciality Hospital  Adoor Pathanamthitta  Pathanamthitta
312,Lifeline Super Speciality Hospital,Lifeline Super Speciality Hospital  Adoor Pathanamthitta,Pathanamthitta,ANTIGEN,POINT(76.7063316 9.163441),Lifeline Super Speciality Hospital  Adoor Pathanamthitta  Pathanamthitta
313,DDRC Srl Pathanamthitta,DDRC Srl Pathanamthitta,Pathanamthitta,ANTIGEN,POINT(76.730803 9.15476),DDRC Srl Pathanamthitta  Pathanamthitta
313,DDRC Srl Pathanamthitta,DDRC Srl Pathanamthitta,Pathanamthitta,ANTIGEN,POINT(76.730803 9.15476),DDRC Srl Pathanamthitta  Pathanamthitta
314,St. Thomas Hospital,St. Thomas Hospital  Malakkara P.O Edayaranmula  Pathanamthitta,Pathanamthitta,ANTIGEN,POINT(76.674599 9.327702),St. Thomas Hospital  Malakkara P.O Edayaranmula  Pathanamthitta  Pathanamthitta
314,St. Thomas Hospital,St. Thomas Hospital  Malakkara P.O Edayaranmula  Pathanamthitta,Pathanamthitta,ANTIGEN,POINT(76.674599 9.327702),St. Thomas Hospital  Malakkara P.O Edayaranmula  Pathanamthitta  Pathanamthitta
315,Medical Trust Hospital and Diabetes care centre,Medical Trust Hospital and Diabetes care centre  Kulanada,Pathanamthitta,ANTIGEN,POINT(76.645176 9.328102),Medical Trust Hospital and Diabetes care centre  Kulanada  Pathanamthitta
315,Medical Trust Hospital and Diabetes care centre,Medical Trust Hospital and Diabetes care centre  Kulanada,Pathanamthitta,ANTIGEN,POINT(76.645176 9.328102),Medical Trust Hospital and Diabetes care centre  Kulanada  Pathanamthitta
316,MGM Muthoot Medical Centre,MGM Muthoot Medical Centre Ring Road  Pathanamthitta,Pathanamthitta,ANTIGEN,POINT(76.780336 9.272686),MGM Muthoot Medical Centre Ring Road  Pathanamthitta  Pathanamthitta
316,MGM Muthoot Medical Centre,MGM Muthoot Medical Centre Ring Road  Pathanamthitta,Pathanamthitta,ANTIGEN,POINT(76.780336 9.272686),MGM Muthoot Medical Centre Ring Road  Pathanamthitta  Pathanamthitta
317,Poyanil Hospital,Poyanil Hospital  Kozhencherry  Pathanamthitta,Pathanamthitta,ANTIGEN,POINT(76.7079349 9.3368136),Poyanil Hospital  Kozhencherry  Pathanamthitta  Pathanamthitta
317,Poyanil Hospital,Poyanil Hospital  Kozhencherry  Pathanamthitta,Pathanamthitta,ANTIGEN,POINT(76.7079349 9.3368136),Poyanil Hospital  Kozhencherry  Pathanamthitta  Pathanamthitta
318,NSS Medical Mission Hospital,NSS Medical Mission Hospital  Pandalam  Pathanamthitta,Pathanamthitta,ANTIGEN,POINT(76.678327 9.2251851),NSS Medical Mission Hospital  Pandalam  Pathanamthitta  Pathanamthitta
